charge_travail,revenu_mensuel,heure_supplementaires,nombre_participation_pee,annee_experience_totale,age,annes_sous_responsable_actuel,nombre_experiences_precedentes,statut_marital_célibataire,distance_domicile_travail
81,5993,1,0,8,41,5,8,1.0,1
80,5130,0,1,10,49,7,1,0.0,8
81,2090,1,0,7,37,0,6,1.0,2
81,2909,1,0,8,33,0,1,0.0,3
80,3468,0,1,6,27,2,9,0.0,2
80,3068,0,0,8,32,6,0,1.0,2
81,2670,1,3,12,59,0,4,0.0,3
80,2693,0,1,1,30,0,1,0.0,24
80,9526,0,0,10,38,8,0,1.0,23
80,5237,0,2,17,36,7,6,0.0,27
80,2426,0,1,6,35,3,0,0.0,16
81,4193,1,0,10,29,8,0,1.0,15
80,2911,0,1,5,31,3,1,0.0,26
80,2661,0,1,3,34,2,0,0.0,19
81,2028,1,0,6,28,3,5,1.0,24
80,9980,0,1,10,29,8,1,0.0,21
81,3298,1,2,7,32,5,0,0.0,5
81,2935,1,2,1,22,0,1,0.0,16
80,15427,0,0,31,53,7,2,0.0,2
81,3944,1,0,6,38,2,5,1.0,2
80,4011,0,1,5,24,3,0,0.0,11
80,3407,0,0,10,36,3,7,1.0,9
80,11994,0,0,13,34,11,0,1.0,7
80,1232,0,0,0,21,0,1,1.0,15
80,2960,0,0,8,34,3,2,1.0,6
80,19094,0,1,26,53,8,4,0.0,5
81,3919,1,0,10,32,7,1,1.0,16
80,6825,0,1,10,42,2,0,0.0,8
80,10248,0,1,24,44,17,3,0.0,7
80,18947,0,0,22,46,1,3,1.0,2
80,2496,0,0,7,33,0,4,1.0,2
81,6465,1,0,9,44,3,2,0.0,10
80,2206,0,0,10,30,8,1,1.0,9
80,2086,0,1,19,39,0,3,0.0,5
81,2293,1,1,6,24,0,2,0.0,1
80,2645,0,2,6,43,4,1,0.0,2
81,2683,1,0,3,50,2,1,0.0,3
80,2014,0,0,2,35,2,1,0.0,2
81,3419,1,1,6,36,0,9,0.0,5
80,5376,0,2,10,33,3,2,0.0,1
80,1951,0,1,1,35,0,1,0.0,4
80,2341,0,1,1,27,0,1,0.0,2
80,2293,0,0,1,26,1,1,1.0,25
80,8726,0,0,9,27,7,1,1.0,8
80,4011,0,0,12,30,7,1,1.0,1
80,19545,0,0,23,41,8,1,0.0,12
80,4568,0,0,10,34,7,0,1.0,23
80,3022,0,0,8,37,0,4,0.0,19
81,5772,1,0,14,46,8,4,1.0,5
80,2269,0,0,1,35,1,1,0.0,8
81,5381,1,0,23,48,0,9,1.0,1
81,3441,1,0,2,28,2,1,1.0,5
81,5454,1,1,9,44,3,5,0.0,1
81,9884,1,1,10,35,3,2,0.0,11
81,4157,1,1,5,26,0,7,0.0,23
81,13458,1,0,15,33,12,1,1.0,1
80,9069,0,1,9,35,8,1,0.0,18
81,4014,1,1,4,35,2,3,0.0,23
80,5915,0,1,10,31,7,3,0.0,7
80,5993,0,1,7,37,7,1,0.0,1
81,6162,1,1,9,32,8,1,0.0,1
80,2406,0,0,10,38,9,1,1.0,29
81,18740,1,1,29,50,8,5,0.0,7
80,7637,0,0,28,59,9,7,1.0,25
80,10096,0,3,17,36,8,1,0.0,8
81,14756,1,3,21,55,2,2,0.0,8
80,6499,0,0,6,36,3,1,1.0,11
80,9724,0,1,25,45,0,2,0.0,7
80,2194,0,1,5,35,2,4,0.0,1
81,3388,1,1,2,36,0,0,0.0,9
80,5473,0,0,20,59,3,7,1.0,1
80,2703,0,1,6,29,4,0,0.0,2
80,2501,0,0,1,31,0,1,1.0,1
80,6220,0,2,10,32,9,1,0.0,1
80,3038,0,0,5,36,0,3,0.0,6
80,4424,0,0,11,31,8,1,1.0,8
80,4312,0,0,16,35,8,0,1.0,1
81,13245,1,0,17,45,0,4,0.0,6
80,13664,0,0,16,37,2,4,1.0,7
81,5021,1,1,16,46,2,8,0.0,5
81,5126,1,2,10,30,0,1,0.0,1
80,2859,0,0,6,35,4,1,1.0,1
80,10239,0,1,24,55,0,3,0.0,1
81,5329,1,3,17,38,9,7,0.0,6
80,4325,0,0,5,34,3,1,0.0,1
80,7260,0,0,37,56,2,4,1.0,7
80,2322,0,1,3,23,0,3,0.0,2
80,2075,0,2,10,51,3,3,0.0,9
80,4152,0,3,11,30,8,1,0.0,2
80,9619,0,0,9,46,7,1,1.0,9
80,13503,0,1,22,40,11,1,0.0,1
81,5441,1,0,11,51,0,0,1.0,21
81,5209,1,3,11,30,7,1,0.0,4
81,10673,1,1,21,46,5,2,0.0,1
80,5010,0,0,12,32,7,1,1.0,6
80,13549,0,1,16,54,3,9,0.0,2
80,4999,0,1,4,24,2,0,0.0,3
80,4221,0,0,5,28,4,1,0.0,4
80,13872,0,0,38,58,8,0,1.0,10
80,2042,0,1,17,44,2,4,0.0,23
81,2073,1,0,7,37,2,4,0.0,6
80,2956,0,0,1,32,0,1,1.0,1
81,2926,1,0,1,20,0,1,1.0,6
80,4809,0,0,16,34,10,1,1.0,6
80,5163,0,1,17,37,0,5,0.0,2
80,18844,0,1,30,59,2,9,0.0,2
81,18172,1,0,28,50,7,3,0.0,1
81,5744,1,0,6,25,3,1,1.0,5
80,2889,0,2,2,25,1,1,0.0,7
80,2871,0,0,1,22,0,1,1.0,15
80,7484,0,0,23,51,8,3,1.0,1
81,6074,1,0,9,34,6,1,1.0,7
81,17328,1,0,23,54,4,2,1.0,26
80,2774,0,1,6,24,2,0,0.0,18
80,4505,0,1,12,34,0,6,0.0,6
80,7428,0,0,12,37,3,2,1.0,3
80,11631,0,0,14,34,8,2,1.0,5
80,9738,0,1,10,36,8,0,0.0,11
80,2835,0,1,7,36,0,5,0.0,3
81,16959,1,2,25,43,12,1,0.0,26
80,2613,0,3,10,30,9,1,0.0,23
80,6146,0,1,8,33,7,0,0.0,22
81,4963,1,3,7,56,3,9,0.0,14
80,19537,0,0,23,51,15,7,1.0,6
81,6172,1,0,12,31,7,4,0.0,6
80,2368,0,0,5,26,3,1,0.0,6
80,10312,0,1,40,58,6,1,0.0,23
81,1675,1,0,0,19,0,1,1.0,22
80,2523,0,1,3,22,1,0,0.0,2
80,6567,0,0,16,49,11,1,0.0,20
80,4739,0,0,18,43,2,4,1.0,28
80,9208,0,0,16,50,1,4,1.0,12
81,4559,1,1,4,31,2,3,0.0,20
81,8189,1,1,12,41,7,3,0.0,9
80,2942,0,1,8,26,7,1,0.0,25
80,4941,0,2,7,36,1,6,0.0,6
80,10650,0,0,18,51,3,2,1.0,8
80,5902,0,1,17,39,9,4,0.0,4
80,8639,0,0,6,25,2,2,0.0,28
81,6347,1,0,12,30,7,0,0.0,9
80,4200,0,0,10,32,4,7,1.0,9
80,3452,0,0,9,45,3,5,1.0,29
81,4317,1,0,19,38,2,3,1.0,3
80,2632,0,0,5,30,4,1,1.0,18
80,4668,0,3,9,32,7,0,0.0,9
80,3204,0,1,8,30,2,5,0.0,5
80,2720,0,0,6,30,2,0,1.0,2
80,17181,0,1,21,41,7,4,0.0,10
80,2238,0,1,7,41,4,2,0.0,9
80,1483,0,0,1,19,0,1,1.0,3
80,5605,0,1,20,40,13,1,0.0,26
80,7295,0,2,10,35,6,1,0.0,1
81,2306,1,1,13,53,5,2,0.0,6
80,2348,0,1,20,45,15,8,0.0,9
80,8998,0,0,9,32,7,1,1.0,8
80,4319,0,1,10,29,9,1,0.0,1
80,6132,0,0,10,51,0,2,0.0,7
81,3346,1,1,9,58,0,4,0.0,9
80,10855,0,1,15,40,11,7,0.0,4
80,2231,0,1,6,34,2,6,0.0,2
80,2323,0,2,2,22,2,1,0.0,19
80,2024,0,1,6,27,2,6,0.0,9
80,2713,0,1,5,28,2,1,0.0,21
81,9439,1,1,12,57,4,3,0.0,24
81,2566,1,1,1,27,1,1,0.0,3
80,19926,0,0,21,50,4,3,1.0,11
80,2451,0,1,13,41,8,4,0.0,14
80,9419,0,1,12,30,4,2,0.0,5
80,8686,0,0,12,38,7,4,1.0,1
80,3038,0,0,8,32,4,3,1.0,6
81,3058,1,1,6,27,1,0,0.0,17
80,2325,0,0,1,19,0,0,1.0,1
80,2088,0,0,13,36,2,4,1.0,3
80,3072,0,2,12,30,10,1,0.0,9
81,5006,1,1,9,45,3,4,0.0,4
81,4257,1,1,19,56,2,4,0.0,8
80,2500,0,0,4,33,2,0,1.0,2
80,1102,0,0,1,19,0,1,1.0,2
80,10453,0,3,24,46,7,1,0.0,1
80,2288,0,0,2,38,1,1,1.0,9
81,3929,1,1,7,31,2,8,0.0,12
80,2311,0,0,9,34,2,2,1.0,27
81,3140,1,0,4,41,2,1,1.0,20
80,3690,0,1,5,50,2,2,0.0,1
80,4450,0,2,5,53,3,1,0.0,13
80,2756,0,1,8,33,6,1,0.0,14
80,19033,0,1,21,40,9,1,0.0,4
80,18722,0,0,36,55,15,8,1.0,14
80,9547,0,0,10,34,9,1,0.0,2
80,13734,0,0,21,51,0,3,1.0,3
80,19999,0,1,34,52,9,0,0.0,1
